MapFind Routine Version: 0.35 by tap 
Run From Version: 508, On Version: 112 Run from File: 52_508fix.bin, On File: A7842980_112.BIN

Found 0 new maps with 2271/2385 found in HW# 112 
10563 skipped, 44 conflicts, and 15086 agreed 
0 AxisCheckErrors and 14 AxisCheckTargErrors. Conflict at 2344 
0 Duplicate Matches Found 
sVar  Map Name                      befo:S:after  A2Lof    del  Newof Delta   Col Row Err Posib var# MatR Blk D O:N A2lDa:NewDa DUPLICATE 
 158                K_FGR_ABF_DELTA    2: :2        2B0      2   160C    4956   0   0   0     1 1800  100   0 0 O:N    90:90    
 159               K_FGR_REG_TIPTOL    1:1:2        2B2      2   160E    4956   0   0   0     1 1799  100   0 0 O:N  0A00:0A00  
 160              K_FGR_REG_TOL_NEG    2: :2        2B4      2   1610    4956   0   0   0     1 1801  100   0 0 O:N  F8F0:F8F0  
 161           K_FGR_UEBERFAHR_TIME    2: :2        2B6      2   1612    4956   0   0   0     1 1798  100   0 0 O:N  0D5C:0D5C  
 162               K_FGR_TOGGLETIME    2: :2        2B8      2   1614    4956   0   0   0     1 1783  100   0 0 O:N    64:64    
 163             K_FGR_WA_CONST_TOL    1:1:2        2BA      2   1616    4956   0   0   0     1 1780  100   0 0 O:N  0100:0100  
 164       K_FGR_REG_POS_ERROR_TIME    2: :2        2BC      2   1618    4956   1   0   0    22 1782  100   0 0 O:N  0604:0604  
 165       K_FGR_REG_NEG_ERROR_TIME    2: :2        2BE      2   161A    4956   1   0   0     1 1781  100   0 0 O:N  0604:0604  
 166              K_FGR_SB_ABR_WERT    2: :2        2C0      2   161C    4956   0   0   0     1 1777  100   0 0 O:N  0820:0820  
 167                     KL_FGR_KIR   36: :36       2E4     36   1640    4956  16   0   0     1  129  100   0 0 O:N      :      
 168                     KL_FGR_KPR   66: :66       326     66   1682    4956  16   0   0     1  128  100   0 0 O:N      :      
 169                   KL_FGR_N_ABH   50: :50       358     50   16B4    4956   8   0   0     1  238  100   0 0 O:N      :      
 170               K_FGR_SB_ABR_TAU   16: :16       368     16   16C4    4956   0   0   0     1 1778  100   0 0 O:N     A:A     
 171                  K_FGR_SA_VERZ    1: :1        369      1   16C5    4956   0   0   0     1 1779  100   0 0 O:N    20:20    
 172                    K_FGR_A_MAX    1: :1        36A      1   16C6    4956   0   0   0     1 1787  100   0 0 O:N    50:50    
 173               K_FGR_UEBER_HYST    1:1:2        36C      2   16C8    4956   0   0   0     1 1788  100   0 0 O:N    50:50    
 174                   K_FGR_KD_KOE    2: :2        36E      2   16CA    4956   0   0   0     1 1790  100   0 0 O:N  0F13:0F13  
 175                  K_FGR_SV_FEST    2: :2        370      2   16CC    4956   0   0   0     1 1789  100   0 0 O:N  0C10:0C10  
 176                       K_MFL_UB    2: :2        372      2   16CE    4956   0   0   0     1 1785  100   0 0 O:N    A0:A0    
 177                 K_MFL_T_OFFSET    1: :1        373      1   16CF    4956   0   0   0     1 1784  100   0 0 O:N    FF:FF    
 178                    K_FGR_V_MAX    1: :1        374      1   16D0    4956   0   0   0     1 1786  100   0 0 O:N  0F0A:0F0A  
 179                 K_FGR_RAMPE_DV    2: :2        376      2   16D2    4956   0   0   0     1 1791  100   0 0 O:N  0600:0600  
 180                  K_FGR_AQU_CNT    2: :2        378      2   16D4    4956   0   0   0     2 1821  100   0 0 O:N  0109:0109  
 181               K_FGR_ASCAUS_CNT    2: :2        37A      2   16D6    4956   0   0   0     1 1825  100   0 0 O:N  0604:0604  
 182                   KL_FGR_AQU_V   12: :12       386     12   16E2    4956   8   0   0     1  242   94   0 0 O:N      :      
 183                 K_LFR_NSOLL_SK    8:1:10       390      8   16EA    4954   0   0   0     1 1623  100   0 0 O:N  0E42:0E42  
 184           KL_LFR_SOLL_MAX_LLS_   16: :16       3A0     16   16FA    4954   6   0   0     2  277  100   0 0 O:N      :      
 185            KL_LFR_SOLL_MAX_LLS   26: :26       3BA     26   1714    4954   6   0   0     2  288  100   0 0 O:N      :      
 186                 K_LFR_NSOLL_AC   12: :12       3C6     12   1720    4954   0   0   0     2 1624  100   0 0 O:N  0636:0636  
 187               K_LFR_TAU_IA2_KS    2:1:4        3CA      4   1724    4954   0   0   0     1 1626  100   0 0 O:N    10:10    
 188           K_LFR_DN_EINGEREGELT    1: :1        3CB      1   1725    4954   0   0   0     1 1625  100   0 0 O:N    C8:C8    
 189           K_LFR_DELTA_N_ZYKLUS    1: :1        3CC      1   1726    4954   0   0   0     1 1621  100   0 0 O:N    05:05    
 190             K_LFR_T_SEIT_START    2: :2        3CE      2   1728    4954   0   0   0     2 1620  100   0 0 O:N  0910:0910  
 191             KL_LFR_NSOLL_START   10: :10       3D8     10   1732    4954   3   0   0     1  458  100   0 0 O:N      :      
 192             KL_LFR_NSOLL_GRUND   16: :16       3E8     16   1742    4954   4   0   0     1  369  100   0 0 O:N      :      
 193            KL_LFR_NSOLL_OFFSET   18: :18       3FA     18   1754    4954   4   0   0     1  363  100   0 0 O:N      :      
 194               KL_LFR_TAU_NSOLL   18: :18       40C     18   1766    4954   4   0   0     1  362  100   0 0 O:N      :      
 195                    K_LFR_V_MAX    8: :8        414      8   176E    4954   0   0   0     1 1622  100   0 0 O:N     2:2     
 196                    K_LFR_T_FBR    1: :1        415      1   176F    4954   0   0   0     1 1619  100   0 0 O:N    30:30    
 197                K_LFR_MDREG_MIN    1: :1        416      1   1770    4954   0   0   0     1 1604  100   0 0 O:N  E4D0:E4D0  
 198                K_LFR_MDREG_MAX    2: :2        418      2   1772    4954   0   0   0     1 1601  100   0 0 O:N  2850:2850  
 199                  K_LFR_TAU_IA1    2: :2        41A      2   1774    4954   0   0   0     1 1603  100   0 0 O:N     1:1     
 200              K_LFR_TAU_IA2_KKS    1: :1        41B      1   1775    4954   0   0   0     1 1602  100   0 0 O:N    FF:FF    
 201              K_LFR_NDIFF_RESET    1: :1        41C      1   1776    4954   0   0   0     1 1598  100   0 0 O:N  0C08:0C08  
 202                K_LFR_NDIFF_POS    2: :2        41E      2   1778    4954   0   0   0     1 1599  100   0 0 O:N  0528:0528  
 203                  KL_LFR_RF_MIN   12: :12       42A     12   1784    4954   4   0   0     1  361  100   0 0 O:N      :      
 204                  K_LFR_UEW_MAX    8: :8        432      8   178C    4954   0   0   0     1 1600  100   0 0 O:N  0230:0230  
 205                 K_LFR_EGAS_ABW    2: :2        434      2   178E    4954   0   0   0     1 1608  100   0 0 O:N    0A:0A    
 206                  K_LFR_CONTROL    2: :2        436      2   1790    4954   0   0   0     1 1609  100   0 0 O:N    1F:1F    
 207                 KL_LFR_DQP_POS   35:1:36       45A     36   17B4    4954  16   0   0     1  150  100   0 0 O:N      :      
 208                  KL_LFR_DI_AFR   66: :66       49C     66   17F6    4954  16   0   0     1  149  100   0 0 O:N      :      
 209                KL_LFR_DABR_AFR   66: :66       4DE     66   1838    4954  16   0   0     1  151  100   0 0 O:N      :      
 210                     KF_LFR_DQI   80: :80       52E     80   1888    4954  15   8   0     1   21  100   0 0 O:N      :      
 211                  KL_LFR_TZ_POS  274: :274      640    274   199A    4954  16   0   0     1  143  100   0 0 O:N      :      
 212                  KL_LFR_TZ_NEG   66: :66       682     66   19DC    4954  16   0   0     1  152  100   0 0 O:N      :      
 213                   KL_LFR_I_AUF   42: :42       6AC     42   1A06    4954   4   0   0     1  364  100   0 0 O:N      :      
 214                   K_LFR_DN_HYS    8: :8        6B4      8   1A0E    4954   0   0   0     1 1611  100   0 0 O:N  0604:0604  
 215                K_LFR_DIAFR_ABR    2: :2        6B6      2   1A10    4954   0   0   0     1 1610  100   0 0 O:N  0300:0300  
 216                K_LFR_NDIFF_AUF    2: :2        6B8      2   1A12    4954   0   0   0     2 1606  100   0 0 O:N    64:64    
 217           K_LFR_MDADAPT_OFFSET    1:1:2        6BA      2   1A14    4954   0   0   0     1 1605  100   0 0 O:N  010E:010E  
